ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
87,1,1,187,1263,1076
88,0,0,40,0,-40
89,0,0,36,0,-36
90,1,0,16,0,-16
91,1,1,271,1205,934
92,1,0,30,0,-30
93,0,0,130,0,-130
94,0,0,26,0,-26
95,0,0,49,0,-49
96,1,1,950,1657,707
97,0,0,33,0,-33
98,1,0,35,0,-35
99,0,0,10,0,-10
100,0,0,8,0,-8
101,0,0,10,0,-10
102,1,1,369,1311,942
103,1,0,2,0,-2
104,1,1,188,1250,1062
105,1,0,8,0,-8
106,0,0,55,0,-55
107,1,0,18,0,-18
108,1,0,18,0,-18
109,1,0,39,0,-39
110,1,0,37,0,-37
111,0,0,28,0,-28
112,1,0,17,0,-17
113,1,0,65,0,-65
114,1,0,119,0,-119
115,0,0,33,0,-33
116,1,0,19,0,-19
117,0,0,350,0,-350
118,1,1,274,1752,1478
119,1,0,9,0,-9
120,1,1,529,1774,1245
121,1,1,671,1259,588
122,1,0,84,0,-84
123,1,1,567,1269,702
124,1,1,390,1295,905
125,0,0,32,0,-32
126,0,0,38,0,-38
127,0,0,23,0,-23
128,1,0,24,0,-24
129,0,0,0,0,0
130,0,0,40,0,-40
131,1,0,226,0,-226
132,0,0,5,0,-5
133,1,1,482,1711,1229
134,0,0,53,0,-53
135,1,1,122,1236,1114
136,1,1,980,1332,352
137,0,0,9,0,-9
138,0,0,24,0,-24
139,1,1,192,1320,1128
140,1,0,23,0,-23
141,1,1,345,1330,985
142,1,0,1,0,-1
143,1,0,4,0,-4
144,1,0,3,0,-3
145,0,0,16,0,-16
146,1,0,100,0,-100
147,1,0,120,0,-120
148,0,0,47,0,-47
149,0,0,66,0,-66
150,1,0,109,0,-109
151,0,0,12,0,-12
152,1,0,164,0,-164
153,1,1,416,1316,900
154,1,1,48,1425,1377
155,0,0,209,0,-209
156,1,1,2034,1203,-831
157,0,0,6,0,-6
158,0,0,15,0,-15
159,1,0,3,0,-3
160,1,0,30,0,-30
161,1,1,863,2315,1452
162,0,0,72,0,-72
163,0,0,57,0,-57
164,1,0,132,0,-132
165,0,0,164,0,-164
166,0,0,169,0,-169
167,0,0,102,0,-102
168,1,1,808,1261,453
169,1,1,910,1776,866
170,1,0,15,0,-15
171,1,0,2,0,-2
172,1,1,617,1351,734
173,1,0,69,0,-69
174,0,0,54,0,-54
175,0,0,181,0,-181
176,1,1,49,1548,1499
177,0,0,128,0,-128
178,0,0,30,0,-30
179,1,0,29,0,-29
180,1,0,13,0,-13
181,1,1,217,1717,1500
182,1,1,329,1202,873
183,0,0,18,0,-18
184,1,1,690,1267,577
185,1,1,274,1510,1236
186,0,0,7,0,-7
187,1,0,150,0,-150
188,0,0,8,0,-8
189,1,0,37,0,-37
190,1,0,58,0,-58
191,1,0,136,0,-136
192,1,0,25,0,-25
193,1,0,2,0,-2
194,1,1,121,1208,1087
195,1,1,284,2417,2133
196,0,0,17,0,-17
197,0,0,44,0,-44
198,1,1,43,1344,1301
199,1,0,100,0,-100
200,1,0,95,0,-95
201,1,0,33,0,-33
202,1,1,188,2333,2145
203,1,0,2,0,-2
204,1,1,435,1389,954
205,0,0,46,0,-46
206,0,0,5,0,-5
207,1,0,25,0,-25
208,1,1,213,1217,1004
209,1,0,31,0,-31
210,1,0,71,0,-71
211,0,0,47,0,-47
212,1,1,632,1262,630
213,1,1,125,1288,1163
214,0,0,2,0,-2
215,0,0,13,0,-13
216,1,1,934,1847,913
217,0,0,110,0,-110
218,1,0,27,0,-27
219,1,0,131,0,-131
220,1,1,682,1852,1170
221,0,0,25,0,-25
222,1,0,36,0,-36
223,1,1,237,1911,1674
224,0,0,20,0,-20
225,1,1,463,1719,1256
226,1,0,6,0,-6
227,1,0,32,0,-32
228,0,0,7,0,-7
229,1,1,259,1369,1110
230,1,1,424,1343,919
231,1,0,0,0,0
232,1,1,357,2054,1697
233,1,0,73,0,-73
234,0,0,97,0,-97
235,0,0,33,0,-33
236,1,0,90,0,-90
237,1,1,473,1617,1144
238,1,0,47,0,-47
239,1,0,128,0,-128
240,0,0,10,0,-10
241,1,1,126,1296,1170
242,1,1,622,1347,725
243,0,0,19,0,-19
244,0,0,62,0,-62
245,1,1,478,1308,830
246,1,1,642,1378,736
247,1,0,6,0,-6
248,1,0,26,0,-26
249,0,0,62,0,-62
250,1,0,8,0,-8
251,0,0,58,0,-58
252,1,1,152,1316,1164
253,0,0,11,0,-11
254,1,1,236,1332,1096
255,1,0,214,0,-214
256,0,0,169,0,-169
257,0,0,13,0,-13
258,0,0,81,0,-81
259,1,0,74,0,-74
260,0,0,116,0,-116
261,1,0,179,0,-179
262,1,1,273,1350,1077
263,1,1,235,1530,1295
264,1,1,810,2237,1427
265,1,0,74,0,-74
266,1,1,833,1294,461
267,1,0,18,0,-18
268,1,1,885,1409,524
269,0,0,83,0,-83
270,0,0,35,0,-35
271,1,0,38,0,-38
272,1,0,219,0,-219
273,1,0,1,0,-1
274,1,1,1163,1345,182
275,1,1,343,1783,1440
276,1,1,377,2000,1623
277,1,0,0,0,0
278,0,0,56,0,-56
279,1,0,44,0,-44
280,1,0,139,0,-139
281,0,0,161,0,-161
282,0,0,11,0,-11
283,1,0,296,0,-296
284,0,0,53,0,-53
285,1,0,145,0,-145
286,1,1,214,1596,1382
287,1,0,57,0,-57
288,1,0,1,0,-1
289,0,0,86,0,-86
290,0,0,56,0,-56
291,1,0,68,0,-68
292,0,0,9,0,-9
293,1,1,121,1396,1275
294,1,1,207,2182,1975
295,1,0,1,0,-1
296,0,0,0,0,0
297,1,0,116,0,-116
298,1,0,12,0,-12
299,0,0,160,0,-160
300,1,0,25,0,-25
301,0,0,3,0,-3
302,1,1,151,1222,1071
303,1,0,70,0,-70
304,0,0,5,0,-5
305,0,0,80,0,-80
306,0,0,40,0,-40
307,1,0,4,0,-4
308,1,0,48,0,-48
309,0,0,85,0,-85
310,0,0,23,0,-23
311,1,0,45,0,-45
312,1,1,760,1457,697
313,1,0,11,0,-11
314,1,0,132,0,-132
315,1,0,23,0,-23
316,0,0,8,0,-8
317,1,0,78,0,-78
318,0,0,9,0,-9
319,1,1,277,1655,1378
320,0,0,47,0,-47
321,0,0,24,0,-24
322,1,0,6,0,-6
323,0,0,78,0,-78
324,1,0,198,0,-198
325,1,0,13,0,-13
326,1,0,21,0,-21
327,1,0,69,0,-69
328,1,1,458,1373,915
329,1,1,418,1847,1429
330,1,0,312,0,-312
331,1,0,25,0,-25
332,0,0,56,0,-56
333,0,0,120,0,-120
334,1,1,185,1730,1545
335,1,1,386,1224,838
336,0,0,30,0,-30
337,0,0,15,0,-15
338,1,0,4,0,-4
339,1,0,4,0,-4
340,0,0,124,0,-124
341,0,0,31,0,-31
342,1,0,162,0,-162
343,0,0,21,0,-21
344,1,1,1471,1348,-123
345,1,1,824,1277,453
346,0,0,61,0,-61
347,0,0,26,0,-26
348,1,0,30,0,-30
349,1,0,135,0,-135
350,0,0,27,0,-27
351,1,1,216,1876,1660
352,1,0,103,0,-103
353,1,1,336,1329,993
354,0,0,82,0,-82
355,1,0,40,0,-40
356,0,0,11,0,-11
357,1,1,1016,1602,586
358,1,0,12,0,-12
359,0,0,9,0,-9
360,0,0,16,0,-16
361,1,1,126,1357,1231
362,0,0,17,0,-17
363,1,0,19,0,-19
364,0,0,17,0,-17
365,1,1,2019,1273,-746
366,0,0,49,0,-49
367,1,1,40,1205,1165
368,1,1,364,1375,1011
369,1,1,354,1218,864
370,0,0,41,0,-41
371,0,0,47,0,-47
372,1,0,9,0,-9
373,1,0,10,0,-10
374,1,0,39,0,-39
375,0,0,60,0,-60
376,0,0,21,0,-21
377,0,0,23,0,-23
378,1,1,127,1387,1260
379,0,0,10,0,-10
380,0,0,48,0,-48
381,1,1,477,1234,757
382,1,0,72,0,-72
383,0,0,173,0,-173
384,1,0,106,0,-106
385,0,0,8,0,-8
386,0,0,5,0,-5
387,0,0,18,0,-18
388,0,0,66,0,-66
389,0,0,177,0,-177
390,1,0,31,0,-31
391,0,0,1,0,-1
392,1,0,166,0,-166
393,0,0,39,0,-39
394,1,1,107,1450,1343
395,1,1,373,1229,856
396,0,0,29,0,-29
397,1,1,170,2290,2120
398,0,0,85,0,-85
399,1,1,395,1224,829
400,1,0,58,0,-58
401,0,0,97,0,-97
402,0,0,40,0,-40
403,0,0,10,0,-10
404,1,0,23,0,-23
405,0,0,118,0,-118
406,0,0,30,0,-30
407,1,0,25,0,-25
408,0,0,57,0,-57
409,1,0,21,0,-21
410,1,0,33,0,-33
411,1,1,1068,1270,202
412,1,1,192,1269,1077
413,1,0,96,0,-96
414,1,1,797,1324,527
415,1,0,42,0,-42
416,1,0,170,0,-170
417,0,0,38,0,-38
418,1,1,134,1746,1612
419,1,1,676,1245,569
420,0,0,64,0,-64
421,1,0,117,0,-117
422,1,0,1,0,-1
423,1,1,848,2149,1301
424,1,0,127,0,-127
425,1,0,4,0,-4
426,0,0,249,0,-249
427,0,0,7,0,-7
428,1,0,38,0,-38
429,0,0,58,0,-58
430,1,1,247,1744,1497
431,0,0,117,0,-117
432,0,0,230,0,-230
433,1,0,116,0,-116
434,0,0,53,0,-53
435,0,0,59,0,-59
436,1,1,649,1265,616
437,0,0,25,0,-25
438,0,0,9,0,-9
439,1,0,41,0,-41
440,0,0,74,0,-74
441,1,1,118,1304,1186
442,0,0,9,0,-9
443,1,0,8,0,-8
444,0,0,44,0,-44
445,1,1,236,1245,1009
446,0,0,4,0,-4
447,0,0,31,0,-31
448,0,0,19,0,-19
449,1,0,20,0,-20
450,1,0,48,0,-48
451,1,1,477,1521,1044
452,0,0,102,0,-102
453,1,1,931,1228,297
454,0,0,48,0,-48
455,1,0,128,0,-128
456,1,1,69,1486,1417
457,1,1,788,1387,599
458,1,0,27,0,-27
459,0,0,18,0,-18
460,0,0,28,0,-28
461,1,1,173,2289,2116
462,1,1,106,1487,1381
463,1,1,473,1786,1313
464,0,0,5,0,-5
465,1,1,178,1891,1713
466,1,0,9,0,-9
467,1,1,129,1370,1241
468,0,0,38,0,-38
469,0,0,67,0,-67
470,1,1,665,1349,684
471,0,0,43,0,-43
472,1,1,1312,1348,36
473,1,0,59,0,-59
474,1,0,32,0,-32
475,1,0,5,0,-5
476,0,0,24,0,-24
477,0,0,111,0,-111
478,0,0,134,0,-134
479,1,1,471,2568,2097
480,0,0,44,0,-44
481,1,1,2059,1407,-652
482,0,0,35,0,-35
483,1,0,99,0,-99
484,0,0,76,0,-76
485,0,0,34,0,-34
486,1,0,21,0,-21
487,1,0,22,0,-22
488,0,0,8,0,-8
489,1,0,5,0,-5
490,1,1,87,1316,1229
491,0,0,34,0,-34
492,1,1,238,1246,1008
493,0,0,130,0,-130
494,1,1,188,1290,1102
495,1,1,1395,1875,480
496,1,1,446,1360,914
497,1,1,193,1539,1346
498,0,0,0,0,0
499,1,0,51,0,-51
500,1,0,4,0,-4
501,1,1,214,1448,1234
502,1,0,157,0,-157
503,1,0,13,0,-13
504,1,0,62,0,-62
505,1,0,3,0,-3
506,0,0,64,0,-64
507,1,1,445,1425,980
508,1,0,89,0,-89
509,1,1,127,1251,1124
510,1,1,224,1416,1192
511,1,1,857,1748,891
512,0,0,6,0,-6
513,1,0,88,0,-88
514,1,0,33,0,-33
515,0,0,2,0,-2
516,0,0,104,0,-104
517,0,0,46,0,-46
518,1,1,905,1263,358
519,1,1,1277,2097,820
520,0,0,7,0,-7
521,1,1,548,1440,892
522,0,0,12,0,-12
523,1,1,607,1363,756
524,0,0,104,0,-104
525,0,0,50,0,-50
526,1,0,56,0,-56
527,0,0,76,0,-76
528,0,0,20,0,-20
529,1,0,1,0,-1
530,1,0,9,0,-9
531,1,0,78,0,-78
532,0,0,47,0,-47
533,1,0,1,0,-1
534,1,0,4,0,-4
535,0,0,15,0,-15
536,1,0,1,0,-1
537,0,0,23,0,-23
538,0,0,107,0,-107
539,0,0,9,0,-9
540,1,1,472,1476,1004
541,1,1,172,1278,1106
542,0,0,49,0,-49
543,1,0,5,0,-5
544,0,0,6,0,-6
545,1,1,748,1370,622
546,1,1,172,1303,1131
547,1,0,22,0,-22
548,1,0,125,0,-125
549,1,1,745,1495,750
550,1,0,2,0,-2
551,0,0,57,0,-57
552,0,0,36,0,-36
553,0,0,125,0,-125
554,0,0,94,0,-94
555,1,0,16,0,-16
556,1,0,3,0,-3
557,1,0,165,0,-165
558,0,0,20,0,-20
559,1,0,23,0,-23
560,1,1,1803,1960,157
561,1,0,4,0,-4
562,1,1,1258,1806,548
563,1,1,28,1430,1402
564,0,0,54,0,-54
565,1,1,58,2179,2121
566,0,0,36,0,-36
567,1,1,203,1663,1460
568,1,1,620,2178,1558
569,0,0,56,0,-56
570,1,0,8,0,-8
571,1,0,12,0,-12
572,0,0,5,0,-5
573,1,1,1303,1374,71
574,1,0,78,0,-78
575,1,0,14,0,-14
576,1,0,199,0,-199
577,1,1,169,1406,1237
578,1,0,128,0,-128
579,0,0,91,0,-91
580,0,0,178,0,-178
581,0,0,114,0,-114
582,0,0,119,0,-119
583,1,1,463,2388,1925
584,1,0,11,0,-11
585,1,1,207,1914,1707
586,1,0,24,0,-24
587,1,1,347,1358,1011
588,1,0,13,0,-13
589,1,1,207,1249,1042
590,1,0,21,0,-21
591,1,0,64,0,-64
592,1,1,1014,1279,265
593,1,1,175,1392,1217
594,1,0,67,0,-67
595,0,0,27,0,-27
596,0,0,31,0,-31
597,1,0,98,0,-98
598,1,0,85,0,-85
599,0,0,4,0,-4
600,1,1,14,2402,2388
601,1,0,2,0,-2
602,0,0,22,0,-22
603,0,0,72,0,-72
604,1,0,23,0,-23
605,1,1,618,1235,617
606,1,1,300,2268,1968
607,1,1,63,2100,2037
608,1,1,1220,1726,506
609,0,0,9,0,-9
610,0,0,53,0,-53
611,0,0,74,0,-74
612,0,0,19,0,-19
613,0,0,17,0,-17
614,1,0,10,0,-10
615,0,0,56,0,-56
616,0,0,120,0,-120
617,1,0,89,0,-89
618,0,0,59,0,-59
619,0,0,22,0,-22
620,1,1,284,1411,1127
621,0,0,24,0,-24
622,0,0,46,0,-46
623,1,1,44,3146,3102
624,1,1,616,1629,1013
625,0,0,36,0,-36
626,1,1,774,1276,502
627,1,1,391,1811,1420
628,1,0,2,0,-2
629,0,0,13,0,-13
630,1,0,25,0,-25
631,0,0,1,0,-1
632,0,0,204,0,-204
633,0,0,8,0,-8
634,1,0,42,0,-42
635,1,0,9,0,-9
636,1,1,135,1256,1121
637,1,1,101,1209,1108
638,1,0,81,0,-81
639,1,0,16,0,-16
640,0,0,80,0,-80
641,1,1,331,1510,1179
642,0,0,26,0,-26
643,1,1,171,1260,1089
644,1,0,7,0,-7
645,0,0,9,0,-9
646,1,0,76,0,-76
647,1,1,480,1352,872
648,1,1,9,1248,1239
649,1,1,545,1450,905
650,1,1,498,2290,1792
651,1,1,422,3090,2668
652,1,1,323,1776,1453
653,1,0,44,0,-44
654,0,0,42,0,-42
655,1,1,149,1230,1081
656,1,1,284,1285,1001
657,1,1,1305,1206,-99
658,1,0,58,0,-58
659,1,0,146,0,-146
660,1,1,300,1203,903
661,0,0,41,0,-41
662,0,0,47,0,-47
663,0,0,14,0,-14
664,1,0,81,0,-81
665,0,0,206,0,-206
666,0,0,6,0,-6
667,1,0,18,0,-18
668,1,1,165,2758,2593
669,0,0,33,0,-33
670,1,0,118,0,-118
671,0,0,18,0,-18
672,1,1,414,2432,2018
673,1,1,1297,1374,77
674,0,0,7,0,-7
675,1,0,32,0,-32
676,1,0,33,0,-33
677,0,0,113,0,-113
678,1,1,883,1233,350
679,1,1,464,1266,802
680,1,1,667,1230,563
681,1,0,35,0,-35
682,0,0,2,0,-2
683,1,0,6,0,-6
684,1,1,251,1587,1336
685,1,1,459,1506,1047
686,1,1,1197,1474,277
687,0,0,89,0,-89
688,1,1,79,1533,1454
689,1,1,1534,1608,74
690,0,0,68,0,-68
691,1,1,681,1929,1248
692,1,0,6,0,-6
693,1,0,108,0,-108
694,0,0,158,0,-158
695,0,0,4,0,-4
696,0,0,201,0,-201
697,1,0,136,0,-136
698,0,0,113,0,-113
699,1,1,284,1583,1299
700,1,1,269,1201,932
701,1,1,1149,1201,52
702,1,0,3,0,-3
703,0,0,1,0,-1
704,0,0,26,0,-26
705,0,0,79,0,-79
706,1,0,0,0,0
707,0,0,3,0,-3
708,0,0,32,0,-32
709,0,0,72,0,-72
710,1,0,145,0,-145
711,1,1,1157,1294,137
712,1,1,901,2048,1147
713,1,1,154,2731,2577
714,1,0,132,0,-132
715,1,0,52,0,-52
716,1,1,863,1744,881
717,0,0,73,0,-73
718,0,0,15,0,-15
719,1,0,135,0,-135
720,0,0,9,0,-9
721,1,1,804,1883,1079
722,0,0,7,0,-7
723,0,0,72,0,-72
724,0,0,140,0,-140
725,1,1,38,1735,1697
726,0,0,3,0,-3
727,1,1,205,1348,1143
728,0,0,0,0,0
729,1,1,331,1568,1237
730,1,0,13,0,-13
731,0,0,25,0,-25
732,1,0,21,0,-21
733,1,1,732,2055,1323
734,0,0,54,0,-54
735,1,0,12,0,-12
736,0,0,62,0,-62
737,1,0,49,0,-49
738,0,0,4,0,-4
739,0,0,77,0,-77
740,0,0,32,0,-32
741,1,1,364,1833,1469
742,0,0,21,0,-21
743,0,0,97,0,-97
744,1,0,19,0,-19
745,1,1,74,1873,1799
746,0,0,71,0,-71
747,1,1,237,1200,963
748,1,1,50,1279,1229
749,1,1,1230,1373,143
750,1,1,229,1449,1220
751,0,0,26,0,-26
752,0,0,6,0,-6
753,1,0,23,0,-23
754,1,1,667,1582,915
755,0,0,34,0,-34
756,1,0,11,0,-11
757,0,0,22,0,-22
758,0,0,20,0,-20
759,1,0,8,0,-8
760,0,0,125,0,-125
761,1,1,118,1459,1341
762,0,0,47,0,-47
763,1,0,26,0,-26
764,1,1,2765,1260,-1505
765,1,1,187,1461,1274
766,1,1,434,1754,1320
767,0,0,16,0,-16
768,1,1,59,2048,1989
769,0,0,11,0,-11
770,1,0,29,0,-29
771,0,0,44,0,-44
772,1,0,77,0,-77
773,1,1,238,1381,1143
774,0,0,56,0,-56
775,1,1,267,1247,980
776,1,0,4,0,-4
777,0,0,29,0,-29
778,1,1,19,1957,1938
779,1,1,267,1837,1570
780,1,0,13,0,-13
781,1,1,384,1649,1265
782,1,0,6,0,-6
783,1,0,2,0,-2
784,1,1,631,1438,807
785,0,0,21,0,-21
786,0,0,11,0,-11
787,0,0,41,0,-41
788,0,0,9,0,-9
789,0,0,41,0,-41
790,0,0,25,0,-25
791,0,0,37,0,-37
792,0,0,13,0,-13
793,1,1,644,1281,637
794,1,1,314,1296,982
795,0,0,9,0,-9
796,1,1,629,2144,1515
797,0,0,8,0,-8
798,1,1,784,1972,1188
799,0,0,44,0,-44
800,1,0,60,0,-60
801,1,0,33,0,-33
802,1,1,442,1443,1001
803,0,0,19,0,-19
804,1,1,688,1224,536
805,0,0,151,0,-151
806,0,0,105,0,-105
807,1,0,30,0,-30
808,1,0,21,0,-21
809,1,0,79,0,-79
810,0,0,94,0,-94
811,0,0,79,0,-79
812,1,1,126,1449,1323
813,1,1,220,1322,1102
814,1,1,606,1245,639
815,0,0,33,0,-33
816,0,0,6,0,-6
817,0,0,90,0,-90
818,0,0,149,0,-149
819,1,1,2193,1233,-960
820,1,1,344,3060,2716
821,1,1,492,1840,1348
822,1,0,18,0,-18
823,1,0,0,0,0
824,0,0,97,0,-97
825,1,0,22,0,-22
826,1,0,173,0,-173
827,1,0,15,0,-15
828,1,1,1323,1227,-96
829,0,0,48,0,-48
830,0,0,3,0,-3
831,1,0,19,0,-19
832,0,0,59,0,-59
833,0,0,30,0,-30
834,0,0,17,0,-17
835,0,0,61,0,-61
836,0,0,41,0,-41
837,0,0,68,0,-68
838,0,0,80,0,-80
839,0,0,1,0,-1
840,1,1,323,1462,1139
841,0,0,26,0,-26
842,1,1,655,1543,888
843,1,1,734,2299,1565
844,1,1,670,2154,1484
845,1,1,56,1957,1901
846,0,0,34,0,-34
847,1,0,13,0,-13
848,1,0,111,0,-111
849,1,0,12,0,-12
850,1,0,16,0,-16
851,1,1,1096,1534,438
852,1,1,221,1483,1262
853,0,0,135,0,-135
854,0,0,37,0,-37
855,1,1,106,1936,1830
856,1,0,50,0,-50
857,0,0,17,0,-17
858,1,0,14,0,-14
859,1,1,1244,2185,941
860,0,0,11,0,-11
861,1,0,48,0,-48
862,0,0,103,0,-103
863,1,1,391,1227,836
864,1,0,7,0,-7
865,1,0,9,0,-9
866,1,1,167,1206,1039
867,0,0,77,0,-77
868,1,1,628,1668,1040
869,1,1,877,1452,575
870,0,0,19,0,-19
871,0,0,21,0,-21
872,0,0,49,0,-49
873,0,0,45,0,-45
874,0,0,8,0,-8
875,1,0,5,0,-5
876,1,1,379,1256,877
877,0,0,91,0,-91
878,0,0,12,0,-12
879,1,1,379,1606,1227
880,1,0,2,0,-2
881,1,0,38,0,-38
882,1,0,18,0,-18
883,1,0,8,0,-8
884,1,0,8,0,-8
885,1,1,472,1237,765
886,1,1,523,1230,707
887,1,0,211,0,-211
888,0,0,6,0,-6
889,0,0,69,0,-69
890,0,0,4,0,-4
891,1,0,35,0,-35
892,0,0,48,0,-48
893,1,0,73,0,-73
894,0,0,23,0,-23
895,0,0,2,0,-2
896,1,1,918,1210,292
897,0,0,23,0,-23
898,0,0,60,0,-60
899,0,0,11,0,-11
900,1,0,53,0,-53
901,0,0,35,0,-35
902,1,0,28,0,-28
903,1,1,558,1331,773
904,0,0,61,0,-61
905,1,1,345,1419,1074
906,1,1,227,1343,1116
907,1,1,826,2910,2084
908,0,0,87,0,-87
909,1,0,13,0,-13
910,0,0,209,0,-209
911,1,0,60,0,-60
912,1,1,408,1550,1142
913,1,0,35,0,-35
914,0,0,49,0,-49
915,0,0,0,0,0
916,0,0,14,0,-14
917,0,0,13,0,-13
918,1,0,6,0,-6
919,0,0,43,0,-43
920,1,1,176,1331,1155
921,1,0,2,0,-2
922,0,0,49,0,-49
923,1,0,78,0,-78
924,0,0,28,0,-28
925,0,0,28,0,-28
926,1,0,4,0,-4
927,1,1,1533,1862,329
928,1,1,822,1526,704
929,0,0,108,0,-108
930,0,0,27,0,-27
931,1,0,43,0,-43
932,0,0,119,0,-119
933,1,1,189,1477,1288
934,1,1,148,1984,1836
935,0,0,1,0,-1
936,0,0,13,0,-13
937,1,0,26,0,-26
938,1,1,689,1387,698
939,1,1,1041,1205,164
940,1,1,564,1355,791
941,1,1,138,5740,5602
942,1,1,1141,1312,171
943,1,1,1096,1520,424
944,1,1,129,1274,1145
945,0,0,173,0,-173
946,0,0,113,0,-113
947,1,1,1405,1367,-38
948,0,0,9,0,-9
949,1,1,421,2533,2112
950,1,0,26,0,-26
951,1,0,12,0,-12
952,0,0,137,0,-137
953,1,0,70,0,-70
954,1,0,104,0,-104
955,1,0,5,0,-5
956,0,0,42,0,-42
957,0,0,21,0,-21
958,1,1,1344,1288,-56
959,1,1,419,1216,797
960,1,1,334,1321,987
961,0,0,47,0,-47
962,1,0,160,0,-160
963,1,0,141,0,-141
964,0,0,53,0,-53
965,1,1,217,2061,1844
966,0,0,8,0,-8
967,0,0,15,0,-15
968,0,0,55,0,-55
969,1,0,49,0,-49
970,1,0,2,0,-2
971,0,0,14,0,-14
972,0,0,14,0,-14
973,1,0,33,0,-33
974,1,1,1196,1209,13
975,0,0,86,0,-86
976,1,0,0,0,0
977,1,0,225,0,-225
978,1,1,136,1826,1690
979,0,0,7,0,-7
980,0,0,5,0,-5
981,1,1,770,1328,558
982,0,0,89,0,-89
983,0,0,10,0,-10
984,0,0,8,0,-8
985,1,1,386,1488,1102
986,0,0,80,0,-80
987,1,1,327,1200,873
988,1,1,430,1350,920
989,1,0,0,0,0
990,1,1,750,1261,511
991,1,1,228,1573,1345
992,0,0,128,0,-128
993,0,0,30,0,-30
994,0,0,103,0,-103
995,0,0,204,0,-204
996,1,0,72,0,-72
997,1,1,116,4403,4287
998,1,0,14,0,-14
999,1,0,7,0,-7
1000,1,1,989,3162,2173
1001,0,0,34,0,-34
1002,0,0,164,0,-164
1003,1,0,56,0,-56
1004,0,0,9,0,-9
1005,1,1,454,1249,795
1006,0,0,132,0,-132
1007,1,0,47,0,-47
1008,1,1,387,1235,848
1009,0,0,31,0,-31
1010,1,0,31,0,-31
1011,0,0,1,0,-1
1012,0,0,20,0,-20
1013,1,1,1030,1521,491
1014,0,0,163,0,-163
1015,1,1,722,1320,598
1016,1,1,59,1419,1360
1017,1,0,104,0,-104
1018,1,0,33,0,-33
1019,0,0,48,0,-48
1020,0,0,110,0,-110
1021,0,0,7,0,-7
1022,0,0,47,0,-47
1023,1,1,246,1397,1151
1024,1,1,103,2867,2764
1025,0,0,21,0,-21
1026,0,0,2,0,-2
1027,0,0,73,0,-73
1028,1,1,1758,1751,-7
1029,1,1,148,1343,1195
1030,1,1,1255,1863,608
1031,0,0,7,0,-7
1032,0,0,31,0,-31
1033,0,0,139,0,-139
1034,0,0,58,0,-58
1035,1,0,30,0,-30
1036,0,0,123,0,-123
1037,0,0,65,0,-65
1038,0,0,114,0,-114
1039,0,0,64,0,-64
1040,0,0,7,0,-7
1041,1,1,951,1335,384
1042,0,0,74,0,-74
1043,1,1,441,1236,795
1044,0,0,36,0,-36
1045,1,1,248,1753,1505
1046,1,0,30,0,-30
1047,1,0,13,0,-13
1048,1,0,1,0,-1
1049,0,0,177,0,-177
1050,1,1,238,1731,1493
